"Step","lrcorrect__monarch-mixer-pretrain-786dim-80m-parameters - metrics/eval/LanguageCrossEntropy","lrcorrect__monarch-mixer-pretrain-786dim-80m-parameters - metrics/eval/LanguageCrossEntropy__MIN","lrcorrect__monarch-mixer-pretrain-786dim-80m-parameters - metrics/eval/LanguageCrossEntropy__MAX"
"2000","4.17056941986084","4.17056941986084","4.17056941986084"
"4000","1.9349743127822876","1.9349743127822876","1.9349743127822876"
"6000","1.9184800386428833","1.9184800386428833","1.9184800386428833"
"8000","1.917346715927124","1.917346715927124","1.917346715927124"
"10000","1.9031319618225098","1.9031319618225098","1.9031319618225098"
"12000","1.8891761302947998","1.8891761302947998","1.8891761302947998"
"14000","1.8864085674285889","1.8864085674285889","1.8864085674285889"
"16000","1.8815500736236572","1.8815500736236572","1.8815500736236572"
"18000","1.8749786615371704","1.8749786615371704","1.8749786615371704"
"20000","1.873478889465332","1.873478889465332","1.873478889465332"
"22000","1.8695677518844604","1.8695677518844604","1.8695677518844604"
"24000","1.8694255352020264","1.8694255352020264","1.8694255352020264"
"26000","1.8659167289733887","1.8659167289733887","1.8659167289733887"
"28000","1.8651580810546875","1.8651580810546875","1.8651580810546875"
"30000","1.8634884357452393","1.8634884357452393","1.8634884357452393"
"32000","1.8612042665481567","1.8612042665481567","1.8612042665481567"
"34000","1.8613789081573486","1.8613789081573486","1.8613789081573486"
"36000","1.85944664478302","1.85944664478302","1.85944664478302"
"38000","1.8587943315505981","1.8587943315505981","1.8587943315505981"
"40000","1.8558005094528198","1.8558005094528198","1.8558005094528198"
"42000","1.8582673072814941","1.8582673072814941","1.8582673072814941"
"44000","1.8542530536651611","1.8542530536651611","1.8542530536651611"
"46000","1.8536889553070068","1.8536889553070068","1.8536889553070068"
"48000","1.8522006273269653","1.8522006273269653","1.8522006273269653"
"50000","1.8522897958755493","1.8522897958755493","1.8522897958755493"
"52000","1.8500481843948364","1.8500481843948364","1.8500481843948364"
"54000","1.8500815629959106","1.8500815629959106","1.8500815629959106"
"56000","1.8479156494140625","1.8479156494140625","1.8479156494140625"
"58000","1.8462355136871338","1.8462355136871338","1.8462355136871338"
"60000","1.846894383430481","1.846894383430481","1.846894383430481"
"62000","1.8459514379501343","1.8459514379501343","1.8459514379501343"
"64000","1.8448777198791504","1.8448777198791504","1.8448777198791504"
"66000","1.8446872234344482","1.8446872234344482","1.8446872234344482"
"68000","1.8432531356811523","1.8432531356811523","1.8432531356811523"
"70000","1.8434168100357056","1.8434168100357056","1.8434168100357056"
"72000","1.841819167137146","1.841819167137146","1.841819167137146"
"74000","1.841330647468567","1.841330647468567","1.841330647468567"
"76000","1.8402256965637207","1.8402256965637207","1.8402256965637207"
"78000","1.8399146795272827","1.8399146795272827","1.8399146795272827"
"80000","1.8385955095291138","1.8385955095291138","1.8385955095291138"
"82000","1.8373767137527466","1.8373767137527466","1.8373767137527466"
"84000","1.8379021883010864","1.8379021883010864","1.8379021883010864"
"86000","1.837287187576294","1.837287187576294","1.837287187576294"
"88000","1.8527588844299316","1.8527588844299316","1.8527588844299316"
"90000","1.8361510038375854","1.8361510038375854","1.8361510038375854"
"92000","1.8347817659378052","1.8347817659378052","1.8347817659378052"
"94000","1.834834098815918","1.834834098815918","1.834834098815918"
"96000","1.8334555625915527","1.8334555625915527","1.8334555625915527"
"98000","1.8330858945846558","1.8330858945846558","1.8330858945846558"
"100000","1.8317370414733887","1.8317370414733887","1.8317370414733887"
"102000","1.9466147422790527","1.9466147422790527","1.9466147422790527"
"104000","1.9460673332214355","1.9460673332214355","1.9460673332214355"
"106000","1.945046305656433","1.945046305656433","1.945046305656433"
"108000","1.9437804222106934","1.9437804222106934","1.9437804222106934"
"110000","1.9433523416519165","1.9433523416519165","1.9433523416519165"
"112000","1.9427741765975952","1.9427741765975952","1.9427741765975952"
"114000","1.9426158666610718","1.9426158666610718","1.9426158666610718"
"116000","1.9415475130081177","1.9415475130081177","1.9415475130081177"
"118000","1.9409905672073364","1.9409905672073364","1.9409905672073364"
"120000","1.9399915933609009","1.9399915933609009","1.9399915933609009"
"122000","1.939427137374878","1.939427137374878","1.939427137374878"
"124000","1.9384667873382568","1.9384667873382568","1.9384667873382568"
"126000","1.9384046792984009","1.9384046792984009","1.9384046792984009"
"128000","1.936633586883545","1.936633586883545","1.936633586883545"
"130000","1.9362269639968872","1.9362269639968872","1.9362269639968872"
"132000","1.9352474212646484","1.9352474212646484","1.9352474212646484"
"134000","1.9341440200805664","1.9341440200805664","1.9341440200805664"
"136000","1.9337754249572754","1.9337754249572754","1.9337754249572754"
"138000","1.9331146478652954","1.9331146478652954","1.9331146478652954"
"140000","1.9329851865768433","1.9329851865768433","1.9329851865768433"
"142000","1.9321446418762207","1.9321446418762207","1.9321446418762207"
"144000","1.9317491054534912","1.9317491054534912","1.9317491054534912"
"146000","1.9307936429977417","1.9307936429977417","1.9307936429977417"
"148000","1.9301316738128662","1.9301316738128662","1.9301316738128662"
"150000","1.928892970085144","1.928892970085144","1.928892970085144"
"152000","1.9292805194854736","1.9292805194854736","1.9292805194854736"
"154000","1.9273465871810913","1.9273465871810913","1.9273465871810913"
"156000","1.9276577234268188","1.9276577234268188","1.9276577234268188"
"158000","1.9263502359390259","1.9263502359390259","1.9263502359390259"
"160000","1.9257209300994873","1.9257209300994873","1.9257209300994873"
"162000","1.9251469373703003","1.9251469373703003","1.9251469373703003"
"164000","1.9243592023849487","1.9243592023849487","1.9243592023849487"
"166000","1.9238898754119873","1.9238898754119873","1.9238898754119873"
"168000","1.9231418371200562","1.9231418371200562","1.9231418371200562"
"170000","1.9222254753112793","1.9222254753112793","1.9222254753112793"
"172000","1.9219799041748047","1.9219799041748047","1.9219799041748047"
"174000","1.9215285778045654","1.9215285778045654","1.9215285778045654"
"176000","1.921130657196045","1.921130657196045","1.921130657196045"
"178000","1.9204463958740234","1.9204463958740234","1.9204463958740234"
"180000","1.9195029735565186","1.9195029735565186","1.9195029735565186"
"182000","1.9194334745407104","1.9194334745407104","1.9194334745407104"
"184000","1.918955683708191","1.918955683708191","1.918955683708191"
"186000","1.9192031621932983","1.9192031621932983","1.9192031621932983"
"188000","1.918334722518921","1.918334722518921","1.918334722518921"
"190000","1.9178524017333984","1.9178524017333984","1.9178524017333984"
"192000","1.9171067476272583","1.9171067476272583","1.9171067476272583"
"194000","1.917103886604309","1.917103886604309","1.917103886604309"
"196000","1.9168932437896729","1.9168932437896729","1.9168932437896729"
"198000","1.9168460369110107","1.9168460369110107","1.9168460369110107"
"200000","1.9165294170379639","1.9165294170379639","1.9165294170379639"
